AF3_1,AF3_2,AF3_3,AF3_4,AF3_5,F7_1,F7_2,F7_3,F7_4,F7_5,F3_1,F3_2,F3_3,F3_4,F3_5,FC5_1,FC5_2,FC5_3,FC5_4,FC5_5,T7_1,T7_2,T7_3,T7_4,T7_5,P7_1,P7_2,P7_3,P7_4,P7_5,O1_1,O1_2,O1_3,O1_4,O1_5,O2_1,O2_2,O2_3,O2_4,O2_5,P8_1,P8_2,P8_3,P8_4,P8_5,T8_1,T8_2,T8_3,T8_4,T8_5,FC6_1,FC6_2,FC6_3,FC6_4,FC6_5,F4_1,F4_2,F4_3,F4_4,F4_5,F8_1,F8_2,F8_3,F8_4,F8_5,AF4_1,AF4_2,AF4_3,AF4_4,AF4_5,Class
9.2343,1.5932,-0.16541,-4.5389,-3.5773,15.128,7.1673,3.0805,-0.73172,-2.5045,10.167,1.3526,0.3736,-4.2466,-2.8941,12.751,3.2169,0.017044,-3.3113,-3.8621,8.9896,0.96394,0.27462,-2.0063,-1.8143,11.558,3.5028,3.0332,-0.14478,0.26814,16.887,5.7978,4.9587,-0.36918,-0.6641,6.4198,1.1513,2.9942,-2.0092,-2.3856,20.462,9.945,5.5562,1.9087,0.29251,7.2081,0.45949,0.20912,-1.3524,-0.2104,12.916,3.4157,1.2568,-2.0889,-2.502,9.9139,2.0553,1.9867,-3.4444,-1.8343,10.949,3.5085,1.0937,-1.7603,-2.3853,15.695,5.3212,2.4727,-1.6719,-2.5299,1
8.3858,1.0138,-0.092307,-3.8362,-4.24,15.173,6.5517,2.3791,-0.9997,-3.3647,13.598,3.2096,1.6529,-2.4261,-2.9546,11.758,3.0224,0.45349,-2.5809,-4.4019,14.486,2.9932,1.237,-1.8884,-2.2333,13.61,4.8717,3.7245,-0.016603,-1.0962,16.09,5.8005,4.8734,-0.18613,-1.2069,9.5807,3.2811,2.5391,-1.4118,-2.9045,16.196,6.79,3.6813,-0.51555,-1.8384,6.6625,0.40657,0.88089,-0.84042,0.22745,12.912,3.9699,1.7529,-1.017,-3.0308,13.35,4.152,2.7637,-1.1207,-1.2433,9.3534,2.7771,0.97243,-1.3795,-2.2776,14.608,5.2558,2.8094,-1.1176,-2.2784,1
9.3317,1.7858,1.0483,-3.4566,-3.4368,13.304,5.5604,2.6423,-0.46091,-2.5995,11.049,2.1892,2.0473,-3.0238,-2.7699,11.873,2.945,1.6083,-2.1618,-4.2365,11.752,1.2482,1.6531,-1.2175,-2.0352,11.543,3.7067,4.1347,0.032114,-0.49696,15.025,5.1417,5.2677,0.23121,-0.79608,7.7883,2.4634,3.1327,-1.3256,-2.2519,23.705,13.137,7.9734,3.5735,1.0663,7.2188,0.78807,1.2944,-0.19629,0.3691,13.079,3.2023,1.9272,-1.1432,-2.533,11.707,2.8705,3.6076,-1.404,-1.5822,10.111,2.7275,1.7554,-1.6211,-2.2059,15.38,5.5394,3.4678,-1.6486,-2.0059,2
9.836,1.3865,0.71442,-2.8338,-3.5623,15.264,6.2206,2.3579,-1.3564,-3.1989,13.722,3.4718,2.1927,-2.3754,-3.1846,12.462,3.5238,1.7964,-2.4176,-4.3092,9.4168,1.6227,1.802,-1.8091,-2.3924,14.178,4.9849,4.2804,0.19356,-0.93869,22.556,10.606,6.9253,1.6037,-0.5137,10.516,3.2522,3.5213,-0.82086,-2.3533,21.218,10.333,5.7648,0.98291,-1.0719,8.8126,0.94899,1.6888,-0.17801,-0.037361,13.815,4.4958,2.8078,-1.3769,-2.9571,14.147,4.1473,4.0368,-0.86367,-1.6769,11.419,3.5002,2.2409,-1.3667,-2.514,16.222,6.2791,3.9178,-1.0771,-1.8701,2
10.466,2.3183,1.2026,-2.3158,-3.4324,17.519,8.8651,4.536,1.2132,-1.2428,10.655,2.3352,1.7776,-1.5924,-2.5951,15.761,4.3744,1.814,-1.704,-3.4612,10.428,2.6034,2.2019,-1.0331,-2.0586,15.432,6.0347,4.9415,0.61177,-0.59297,17.825,7.418,6.0904,1.0418,-0.56537,10.325,3.3201,3.7694,-0.78617,-2.0662,23.276,13.441,8.283,3.4042,0.52966,9.4356,2.0542,2.3987,0.05294,-0.89144,18.808,8.1028,3.9909,-0.40975,-2.8445,9.6924,2.4649,2.9232,-0.9082,-2.6697,12.001,4.1907,2.5265,-1.3253,-3.0679,16.217,6.5643,4.1873,-0.56997,-2.5564,3
10.206,2.6493,5.5594,-0.40797,-2.5574,14.084,4.959,5.3633,-0.28618,-2.6995,12.856,4.0818,5.8975,0.67252,-1.064,11.204,2.1593,4.4435,-1.1967,-3.5156,9.9748,2.8895,5.107,0.94324,-1.8201,15.055,6.4759,7.8723,2.1442,-0.54667,17.602,7.4849,10.241,3.5189,-0.21668,11.421,3.5065,9.2444,1.9697,-1.5475,21.98,12.501,10.205,4.2198,0.73035,8.2038,2.7799,5.5826,1.7439,0.064292,10.505,2.7965,5.1147,0.079384,-2.8933,10.315,3.6088,6.7509,1.131,-0.91929,10.706,3.3177,4.9348,0.18149,-2.5012,16.867,6.5756,7.3784,1.8943,-1.2682,3
9.9246,1.5766,0.51552,-2.2088,-3.6192,17.69,9.9043,5.1512,1.4147,-1.52,18.402,6.8935,3.3372,-0.55922,-2.4267,12.348,3.498,1.7081,-1.2735,-3.9189,10.952,2.8163,2.4397,0.01177,-2.1093,18.427,7.8502,4.7717,1.2608,-0.91836,23.128,10.917,6.9429,2.0886,-0.45427,9.5766,2.9812,2.8047,0.087093,-2.3013,17.699,7.4866,3.7655,0.43386,-1.9358,9.1163,2.3922,2.5773,1.3177,-0.18949,13.459,4.4672,3.2175,0.07254,-2.9314,13.314,3.2899,3.3145,0.2153,-2.0636,11.263,3.2418,2.5292,-0.51141,-3.103,15.293,5.346,3.6379,0.36125,-1.6711,4
12.126,3.5225,2.7293,-0.59423,-2.3149,22.937,14.004,9.6794,6.1502,2.6814,10.907,3.3415,3.6508,-0.56095,-1.4442,13.693,4.3208,2.6411,-0.80706,-2.2211,10.73,3.3596,3.0457,0.69009,-1.2354,16.974,6.7922,5.533,1.3866,-0.36982,19.246,8.3439,7.7821,2.7669,0.1343,11.44,4.0577,6.2702,1.1427,-1.7973,22.453,12.156,7.8489,2.8691,0.13996,10.18,3.1279,4.0861,1.2716,-0.46758,15.912,6.63,4.3606,0.23073,-2.2074,10.293,3.3818,4.0675,0.65173,-0.63427,12.548,4.8711,3.2451,-0.080201,-2.4063,16.051,6.3105,4.3715,1.1028,-0.89592,4
10.669,1.8398,1.958,-1.9359,-3.4373,14.239,5.3907,2.8414,-0.39321,-2.9378,10.062,2.0934,3.0198,-1.0596,-2.574,12.061,3.0227,2.0886,-1.6209,-3.8808,9.6947,2.0314,1.9349,-0.3068,-2.2531,16.838,6.472,5.0908,0.92128,-1.0721,18.945,7.7108,7.543,2.1526,-0.68849,9.414,2.5988,5.7533,0.98566,-2.0379,16.183,5.8672,4.4921,-0.37602,-2.6474,9.1776,1.7379,2.6797,0.31834,-0.56991,23.529,13.547,8.3911,4.0372,0.24132,9.4774,2.697,4.2956,0.27085,-1.5026,10.737,3.0982,2.6598,-0.85649,-3.3185,16.65,5.9563,4.7931,0.49799,-1.8063,5
10.21,2.9168,1.9359,-1.4409,-2.9621,16.875,6.2771,3.4477,-0.053747,-2.6111,11.091,2.8951,3.0246,-1.3462,-2.1045,11.226,2.7208,1.9406,-1.3284,-3.7086,10.7,3.0143,3.3307,-0.21797,-1.5459,16.195,6.8855,5.3963,1.356,-0.042329,18.12,7.2611,6.5385,1.8025,-0.31422,12.365,4.9477,4.6477,0.60571,-1.682,21.814,12.332,7.5352,2.7973,-0.051273,9.5553,2.6219,3.1817,0.50033,-0.14259,10.682,2.9246,2.954,-0.8106,-2.9558,9.3849,2.6027,4.3356,-0.34778,-1.4449,12.454,4.255,2.7158,-0.31992,-2.337,15.694,6.3544,4.4114,0.059849,-1.7721,5
