Time (s);Identifier;Duration
2.0024414063e+001;19;0.0000000000e+000
1.4002441406e+002;0;0.0000000000e+000
1.5002441406e+002;5;0.0000000000e+000
2.7002441406e+002;0;0.0000000000e+000
2.8002441406e+002;10;0.0000000000e+000
4.0002441406e+002;0;0.0000000000e+000
4.1002441406e+002;8;0.0000000000e+000
5.3002441406e+002;0;0.0000000000e+000
5.4002441406e+002;24;0.0000000000e+000
6.6002441406e+002;0;0.0000000000e+000
6.7002441406e+002;25;0.0000000000e+000
7.9002441406e+002;0;0.0000000000e+000
8.0002441406e+002;13;0.0000000000e+000
9.2002441406e+002;0;0.0000000000e+000
9.3002441406e+002;4;0.0000000000e+000
1.0500244141e+003;0;0.0000000000e+000
1.0600244141e+003;14;0.0000000000e+000
1.1800244141e+003;0;0.0000000000e+000
1.1900244141e+003;17;0.0000000000e+000
1.3100498047e+003;32770;0.0000000000e+000
